1|1|500
2|1|500
3|1|500
4|4|10
5|4|10
6|6|500
6|7|125
7|6|500
7|7|125
8|6|500
8|7|125
9|11|500
9|12|1
10|11|500
10|12|1
11|26|30
11|27|10
11|28|100
12|26|30
12|27|10
12|28|100
13|2|400
14|2|400
15|3|75
16|3|75
17|5|10
18|5|10
19|8|500
20|8|500
21|9|500
22|9|500
23|10|500
24|10|500
25|11|500
26|11|500
27|12|1
28|12|1
29|13|20
30|13|20
31|14|5
32|14|5
33|16|5
34|16|5
35|17|10
36|17|10
37|18|50
38|18|50
39|19|10
40|19|10
41|20|10
42|20|10
43|21|20
44|21|20
45|22|40
46|22|40
47|23|150
48|23|150
49|24|10
50|24|10
51|25|10
52|25|10
53|26|30
54|26|30
55|27|10
56|27|10
57|28|100
58|28|100
59|29|100
60|29|100
61|30|5
62|30|5
63|31|25
64|31|25
65|32|25
66|32|25
67|33|4
68|33|4
69|34|5
70|34|5
71|35|120
72|35|120
73|36|500
74|36|500
75|37|400
76|37|400
77|38|600
78|38|600
79|39|250
80|39|250
81|40|75
82|40|75
83|41|400
84|41|400
85|42|600
86|42|600
87|43|1000
88|43|1000
89|44|500
90|44|500
91|45|100
92|45|100
93|46|500
94|46|500
95|47|200
96|47|200
97|48|400
98|48|400
99|49|400
100|49|400
